Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme_0;Nuance_0;Voix_0;%Voix/Exp_0;Binôme_1;Nuance_1;Voix_1;%Voix/Exp_1;Binôme_2;Nuance_2;Voix_2;%Voix/Exp_2;Binôme_3;Nuance_3;Voix_3;%Voix/Exp_3;Binôme_4;Nuance_4;Voix_4;%Voix/Exp_4;Binôme_5;Nuance_5;Voix_5;%Voix/Exp_5;Binôme_6;Nuance_6;Voix_6;%Voix/Exp_6;Binôme_7;Nuance_7;Voix_7;%Voix/Exp_7;Binôme_8;Nuance_8;Voix_8;%Voix/Exp_8;Binôme_9;Nuance_9;Voix_9;%Voix/Exp_9;Binôme_10;Nuance_10;Voix_10;%Voix/Exp_10;Binôme_11;Nuance_11;Voix_11;%Voix/Exp_11;Binôme_12;Nuance_12;Voix_12;%Voix/Exp_12;Binôme_13;Nuance_13;Voix_13;%Voix/Exp_13
01;1;Ambérieu-en-Bugey;19521;13028;6493;185;97;6211;M. Joël BRUNET;BC-DVD;1983.0;31.93;M. Fabrice PEREYRON;BC-UG;1552.0;24.99;M. Christophe FORTIN;BC-UCD;1348.0;21.7;M. Anthony GAUDILLIERE;BC-RN;1328.0;21.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;2;Attignat;18167;12364;5803;123;66;5614;Mme Clotilde FOURNIER;BC-UCD;2961.0;52.74;Mme Nadine BOZONNET;BC-UGE;1596.0;28.43;Mme Marie-Françoise RICARD;BC-RN;1057.0;18.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;3;Valserhône;12708;9082;3626;50;27;3549;M. Guy LARMANJAT;BC-DVG;2467.0;69.51;Mme Marie-Noëlle ANCIAN;BC-LR;541.0;15.24;M. François BRISSON;BC-RN;541.0;15.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;4;Belley;18058;11688;6370;189;75;6106;Mme Aurélie BOREL;BC-UD;3058.0;50.08;Mme Pascale GUILLON;BC-UGE;1917.0;31.4;Mme Géraldine CENDRE;BC-UXD;1131.0;18.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;5;Bourg-en-Bresse-1;20006;14151;5855;114;62;5679;Mme Hélène BERTRAND-MARÉCHAL;BC-UCD;2530.0;44.55;Mme Françoise COURTINE;BC-SOC;2295.0;40.41;Mme Maryse PÉDENON;BC-UXD;854.0;15.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;6;Bourg-en-Bresse-2;17630;11766;5864;109;59;5696;M. Patrick BOUVARD;BC-UGE;2541.0;44.61;Mme Hélène CÉDILEAU;BC-UCD;2323.0;40.78;Mme Chantal PALLARD;BC-RN;832.0;14.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;7;Ceyzériat;19221;12579;6642;133;92;6417;M. Jean-Yves FLOCHON;BC-UD;3037.0;47.33;Mme Sonia DEBIAS SAÏD;BC-DVG;1973.0;30.75;M. Jérôme BUISSON;BC-RN;1407.0;21.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;8;Châtillon-sur-Chalaronne;21995;15345;6650;175;71;6404;Mme Patricia CHMARA;BC-UCD;2803.0;43.77;M. Olivier FROMONT;BC-DIV;1871.0;29.22;Mme Blanche CHAUSSAT;BC-RN;1730.0;27.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;9;Gex;17957;13297;4660;68;44;4548;Mme Véronique BAUDE;BC-UCD;2459.0;54.07;M. François BAILLON;BC-UGE;1559.0;34.28;M. Florian LAPALUS;BC-UXD;530.0;11.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01;10;Plateau d'Hauteville;15228;9781;5447;152;69;5226;M. Philippe EMIN;BC-UCD;2783.0;53.25;M. Michel LEJEUNE;BC-UGE;1382.0;26.44;M. Roger AVY;BC-RN;908.0;17.37;M. Grégory FABRIS;BC-DSV;153.0;2.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
